ID,Date,Balance2,Value
COPEC,2022-06-30,Cash,-1748741.53396
COPEC,2022-06-30,Debt,-7835908.8729
COPEC,2022-09-30,Cash,-1711723.02
COPEC,2022-09-30,Debt,-8244888.246
COPEC,2022-12-31,Cash,-1489527.3919599997
COPEC,2022-12-31,Debt,-7946334.11641
COPEC,2023-03-31,Cash,-1429450.6268000002
COPEC,2023-03-31,Debt,-7810387.702880001
COPEC,2023-06-30,Cash,-1302582.68256
COPEC,2023-06-30,Debt,-8090117.8064399995
COPEC,2023-09-30,Cash,-1503180.7045200001
COPEC,2023-09-30,Debt,-8956532.217600001
COPEC,2023-12-31,Cash,-1718683.1798500002
COPEC,2023-12-31,Debt,-8546284.94405
COPEC,2024-03-31,Cash,-2052570.0362999998
COPEC,2024-03-31,Debt,-9205245.415380001
COPEC,2024-06-30,Cash,-1843489.50268
COPEC,2024-06-30,Debt,-9046354.2603
COPEC,2024-09-30,Cash,-1960948.395
COPEC,2024-09-30,Debt,-7627035.5175
COPEC,2024-12-31,Cash,-2328148.4768
COPEC,2024-12-31,Debt,-8892059.0422
COPEC,2025-03-31,Cash,-2197393.8841
COPEC,2025-03-31,Debt,-8701198.4432
COPEC,2025-06-30,Cash,-2599167.5683999998
COPEC,2025-06-30,Debt,-9187235.681
COPEC,2025-09-30,Cash,-2585387.63112
COPEC,2025-09-30,Debt,-9817352.709080001
ENTEL,2017-03-31,Cash,-83408.527
ENTEL,2017-03-31,Debt,-1597381.079
ENTEL,2017-06-30,Cash,-112507.907
ENTEL,2017-06-30,Debt,-1692915.2280000001
ENTEL,2017-09-30,Cash,-140881.08299999998
ENTEL,2017-09-30,Debt,-1652935.4009999998
ENTEL,2017-12-31,Cash,-147765.137
ENTEL,2017-12-31,Debt,-1627454.026
ENTEL,2018-03-31,Cash,-51151.356
ENTEL,2018-03-31,Debt,-1649181.2880000002
ENTEL,2018-06-30,Cash,-41509.474
ENTEL,2018-06-30,Debt,-1694951.497
ENTEL,2018-09-30,Cash,-18829.59
ENTEL,2018-09-30,Debt,-1722386.3590000002
ENTEL,2018-12-31,Cash,-89910.08
ENTEL,2018-12-31,Debt,-1815513.552
ENTEL,2019-03-31,Cash,-46009.068
ENTEL,2019-03-31,Debt,-1789333.516
ENTEL,2019-06-30,Cash,-35196.467000000004
