Date,Date_quarter,Holding,HoldingValue,NetDebt,eqy_shares_total,NAV,NAV_PS,Price,stale,Discount
2021-05-12,2021Q2,INVERCAP,873680.26828656,5950.621040000056,149.253056,867729.6472465598,5813.814942901805,2800.0,False,0.5183885232847716
2021-05-13,2021Q2,INVERCAP,840876.659700336,5950.621040000056,149.253056,834926.038660336,5594.029770890159,2769.9,False,0.5048471113947548
2021-05-14,2021Q2,INVERCAP,850295.517611232,5950.621040000056,149.253056,844344.896571232,5657.136404438058,2780.0,False,0.5085852980636859
2021-05-17,2021Q2,INVERCAP,817491.909025008,5950.621040000056,149.253056,811541.287985008,5437.35123242641,2701.9,False,0.5030852552090366
2021-05-18,2021Q2,INVERCAP,837888.6082251553,5950.621040000056,149.253056,831937.9871851553,5574.0097354197915,2749.7,False,0.5066926448787565
2021-05-19,2021Q2,INVERCAP,804825.169075872,5950.621040000056,149.253056,798874.5480358719,5352.483690758547,2698.8,False,0.4957854790553262
2021-05-20,2021Q2,INVERCAP,798329.404999392,5950.621040000056,149.253056,792378.783959392,5308.961874518616,2685.9,False,0.4940818820169921
2021-05-24,2021Q2,INVERCAP,760004.39694816,5950.621040000056,149.253056,754053.77590816,5052.183158703029,2733.9,False,0.45886759958603063
2021-05-25,2021Q2,INVERCAP,724277.6945275201,5950.621040000056,149.253056,718327.07348752,4812.813169383413,2599.1,False,0.4599624152181706
2021-05-26,2021Q2,INVERCAP,717781.93045104,5950.621040000056,149.253056,711831.30941104,4769.291353143483,2500.0,False,0.475813110400096
2021-05-27,2021Q2,INVERCAP,772995.92510112,5950.621040000056,149.253056,767045.3040611199,5139.2267911828885,2697.6,False,0.47509613612924506
2021-05-28,2021Q2,INVERCAP,844449.3299424,5950.621040000056,149.253056,838498.7089024,5617.96676982212,2757.0,False,0.5092530602335168
2021-05-31,2021Q2,INVERCAP,855492.1288724161,5950.621040000056,149.253056,849541.5078324161,5691.953857430002,2749.0,False,0.5170375465339396
2021-06-01,2021Q2,INVERCAP,863416.9610457217,5950.621040000056,149.253056,857466.3400057217,5745.050473242717,2746.4,False,0.5219537212438394
2021-06-02,2021Q2,INVERCAP,837953.56586592,5950.621040000056,149.253056,832002.94482592,5574.4449535821905,2744.4,False,0.5076819265680572
2021-06-03,2021Q2,INVERCAP,809242.2886478784,5950.621040000056,149.253056,803291.6676078783,5382.078525801699,2706.7,False,0.49709020650217706
2021-06-04,2021Q2,INVERCAP,810996.144948528,5950.621040000056,149.253056,805045.523908528,5393.829416186481,2677.7,False,0.5035623499763597
2021-06-07,2021Q2,INVERCAP,776308.7647801248,5950.621040000056,149.253056,770358.1437401248,5161.422917465254,2683.9,False,0.48000773373594263
2021-06-08,2021Q2,INVERCAP,785013.088642608,5950.621040000056,149.253056,779062.467602608,5219.74215122676,2648.8,False,0.49254198325151544
2021-06-09,2021Q2,INVERCAP,797030.252184096,5950.621040000056,149.253056,791079.6311440959,5300.25751127063,2648.8,False,0.5002506964298412
2021-06-10,2021Q2,INVERCAP,824637.2495091361,5950.621040000056,149.253056,818686.6284691361,5485.225230290334,2749.6,False,0.49872614440401697
2021-06-11,2021Q2,INVERCAP,834056.107420032,5950.621040000056,149.253056,828105.486380032,5548.3318638382325,2720.7,False,0.5096363976112506
